member,archive,archive_url,crs,min_x,min_y,max_x,max_y
3dm_33_395_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5819000,396000,5820000
3dm_33_395_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5820000,396000,5821000
3dm_33_395_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5821000,396000,5822000
3dm_33_395_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5822000,396000,5823000
3dm_33_395_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5823000,396000,5824000
3dm_33_395_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5824000,396000,5825000
3dm_33_395_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5825000,396000,5826000
3dm_33_396_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5816000,397000,5817000
3dm_33_396_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5817000,397000,5818000
3dm_33_396_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5818000,397000,5819000
3dm_33_396_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5819000,397000,5820000
3dm_33_396_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5820000,397000,5821000
3dm_33_396_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5821000,397000,5822000
3dm_33_396_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5822000,397000,5823000
3dm_33_396_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5823000,397000,5824000
3dm_33_396_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5824000,397000,5825000
3dm_33_396_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,396000,5825000,397000,5826000
3dm_33_397_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5816000,398000,5817000
3dm_33_397_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5817000,398000,5818000
3dm_33_397_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5818000,398000,5819000
3dm_33_397_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5819000,398000,5820000
3dm_33_397_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5820000,398000,5821000
3dm_33_397_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5821000,398000,5822000
3dm_33_397_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5822000,398000,5823000
3dm_33_397_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5823000,398000,5824000
3dm_33_397_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5824000,398000,5825000
