task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
135	a8/ae498a	OSM_TO_SHAPES (grid_25832_33_346)	grid_25832_33_346	COMPLETED	0	1	1.7s	3.1s	102.2%	15.8 MB	176.9 MB	235.8 MB	105.8 MB
56	4d/d63043	OSM_EXTRACT (chunk_00053)	chunk_00053	COMPLETED	0	1	13.4s	14.9s	390.9%	14 GB	16.3 GB	2.4 GB	15.1 MB
139	fe/d3932b	OSM_TO_SHAPES (grid_25832_35_342)	grid_25832_35_342	COMPLETED	0	1	517ms	2.3s	100.8%	16.1 MB	176.9 MB	70.3 MB	30.1 MB
140	94/73eeed	OSM_TO_SHAPES (grid_25832_35_343)	grid_25832_35_343	COMPLETED	0	1	1.7s	2.8s	102.1%	15.8 MB	176.9 MB	233.3 MB	115 MB
70	a2/0c7bb9	OSM_EXTRACT (chunk_00067)	chunk_00067	COMPLETED	0	1	13.3s	15.3s	396.4%	13.1 GB	15.4 GB	2.4 GB	11.3 MB
48	88/2e6775	OSM_EXTRACT (chunk_00045)	chunk_00045	COMPLETED	0	1	14.2s	17s	384.2%	14.4 GB	16.7 GB	2.4 GB	24.7 MB
60	6f/0e234f	OSM_EXTRACT (chunk_00057)	chunk_00057	COMPLETED	0	1	14.4s	16.6s	379.9%	13.5 GB	15.8 GB	2.4 GB	16.3 MB
61	01/a63504	OSM_EXTRACT (chunk_00058)	chunk_00058	COMPLETED	0	1	14.4s	17.5s	376.0%	13.2 GB	15.6 GB	2.4 GB	14.1 MB
142	64/1cf9c5	OSM_TO_SHAPES (grid_25832_35_345)	grid_25832_35_345	COMPLETED	0	1	3.3s	4s	101.2%	244.4 MB	9.6 GB	570.3 MB	244.2 MB
88	f1/ef11f6	OSM_EXTRACT (chunk_00085)	chunk_00085	COMPLETED	0	1	5.1s	6.7s	874.2%	2 GB	4.2 GB	2.4 GB	476.4 KB
43	51/69f756	OSM_EXTRACT (chunk_00040)	chunk_00040	COMPLETED	0	1	15.8s	19.1s	360.3%	14.8 GB	17.2 GB	2.4 GB	33.4 MB
141	b6/61b836	OSM_TO_SHAPES (grid_25832_35_344)	grid_25832_35_344	COMPLETED	0	1	5.3s	6.2s	101.3%	266.2 MB	9.7 GB	932.8 MB	398 MB
145	6b/05be39	OSM_TO_SHAPES (grid_25832_43_339)	grid_25832_43_339	COMPLETED	0	1	1.9s	3.6s	101.9%	16.2 MB	176.9 MB	284.1 MB	127.4 MB
143	0b/2f9bcf	OSM_TO_SHAPES (grid_25832_43_337)	grid_25832_43_337	COMPLETED	0	1	2.6s	4.2s	101.1%	243 MB	9.6 GB	623.3 MB	203 MB
55	59/40f733	OSM_EXTRACT (chunk_00052)	chunk_00052	COMPLETED	0	1	15.6s	16.6s	358.4%	12.5 GB	14.9 GB	2.4 GB	23.5 MB
144	ec/5305e8	OSM_TO_SHAPES (grid_25832_43_338)	grid_25832_43_338	COMPLETED	0	1	2.1s	3s	101.1%	15.8 MB	176.9 MB	343.2 MB	146.4 MB
78	b5/a5c543	OSM_EXTRACT (chunk_00075)	chunk_00075	COMPLETED	0	1	13.9s	15.6s	383.0%	13.4 GB	15.8 GB	2.4 GB	13 MB
146	48/ffca08	OSM_TO_SHAPES (grid_25832_43_340)	grid_25832_43_340	COMPLETED	0	1	1.9s	3s	101.7%	15.8 MB	176.9 MB	252.4 MB	126.4 MB
149	8c/aa1fd7	OSM_TO_SHAPES (grid_25832_37_340)	grid_25832_37_340	COMPLETED	0	1	2s	2.9s	101.1%	15.9 MB	176.9 MB	312.3 MB	141.5 MB
148	e6/7317a9	OSM_TO_SHAPES (grid_25832_37_339)	grid_25832_37_339	COMPLETED	0	1	1.3s	2.3s	102.4%	15.9 MB	176.9 MB	176.5 MB	88.5 MB
147	34/272f2f	OSM_TO_SHAPES (grid_25832_37_338)	grid_25832_37_338	COMPLETED	0	1	957ms	1.6s	100.3%	16 MB	176.9 MB	120.8 MB	57.9 MB
42	e2/d5c976	OSM_EXTRACT (chunk_00039)	chunk_00039	COMPLETED	0	1	13.5s	14.4s	394.6%	14.3 GB	16.6 GB	2.4 GB	17.5 MB
150	21/955277	OSM_TO_SHAPES (grid_25832_37_341)	grid_25832_37_341	COMPLETED	0	1	1.9s	2.9s	100.9%	16.1 MB	176.9 MB	271.1 MB	134.1 MB
86	01/6b91c3	OSM_EXTRACT (chunk_00083)	chunk_00083	COMPLETED	0	1	12.9s	15s	406.4%	13 GB	15.3 GB	2.4 GB	12.5 MB
45	1d/b24a9a	OSM_EXTRACT (chunk_00042)	chunk_00042	COMPLETED	0	1	13.5s	16.4s	392.1%	13.5 GB	15.9 GB	2.4 GB	10 MB
152	88/3e6b04	OSM_TO_SHAPES (grid_25832_36_347)	grid_25832_36_347	COMPLETED	0	1	2.7s	4.1s	101.5%	240.8 MB	9.6 GB	477 MB	190.3 MB
73	49/2381d8	OSM_EXTRACT (chunk_00070)	chunk_00070	COMPLETED	0	1	14.1s	16.1s	384.3%	13.9 GB	16.2 GB	2.4 GB	19.8 MB
